list_place,list_date_time,detail_plaats,detail_datum,stance,language,identifies_as_immigrant
Haarlem,01 oktober 2025 (20:52),Haarlem,1 oktober 2025,Against,Dutch,Unclear
Eindhoven,01 oktober 2025 (20:51),Eindhoven,1 oktober 2025,Against,Dutch,Yes
Eindhoven,01 oktober 2025 (20:49),Eindhoven,1 oktober 2025,Against,Dutch,Yes
purmerend,01 oktober 2025 (20:48),purmerend,1 oktober 2025,Against,Dutch,Unclear
Amstelveen,01 oktober 2025 (20:47),Amstelveen,1 oktober 2025,Against,English,Yes
Amsterdam,01 oktober 2025 (20:37),Amsterdam,1 oktober 2025,Against,English,Yes
Amsterdam,01 oktober 2025 (20:30),Amsterdam,1 oktober 2025,Against,Dutch,Unclear
Eindhoven,01 oktober 2025 (20:30),Eindhoven,1 oktober 2025,Against,Dutch,Yes
Veghel,01 oktober 2025 (20:28),Veghel,1 oktober 2025,Against,Dutch,Yes
Aruba,01 oktober 2025 (20:18),Aruba,1 oktober 2025,Against,Dutch,Unclear
EINDHOVEN,01 oktober 2025 (20:16),EINDHOVEN,1 oktober 2025,Against,English,Unclear
Rotterdam,01 oktober 2025 (20:02),Rotterdam,1 oktober 2025,Against,English,Yes
Zandvoort,01 oktober 2025 (19:57),Zandvoort,1 oktober 2025,Against,Dutch,Unclear
Hoorn,01 oktober 2025 (19:43),Hoorn,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (19:40),Amsterdam,1 oktober 2025,Against,Dutch,Yes
Schiedam,01 oktober 2025 (19:39),Schiedam,1 oktober 2025,Against,Dutch,Unclear
Valkenswaard ,01 oktober 2025 (19:38),Valkenswaard,1 oktober 2025,Against,English,Unclear
Eindhoven,01 oktober 2025 (19:38),Eindhoven,1 oktober 2025,Against,English,Unclear
Amstelveen,01 oktober 2025 (19:37),Amstelveen,1 oktober 2025,Against,English,Yes
Ijsselstein,01 oktober 2025 (19:35),Ijsselstein,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (19:35),Amsterdam,1 oktober 2025,Against,English,Yes
Eindhoven,01 oktober 2025 (19:30),Eindhoven,1 oktober 2025,Against,English,Yes
Amstelveen,01 oktober 2025 (19:30),Amstelveen,1 oktober 2025,Against,Dutch,Unclear
Helmond,01 oktober 2025 (19:26),Helmond,1 oktober 2025,Against,English,Unclear
Nederland,01 oktober 2025 (19:14),Nederland,1 oktober 2025,Against,Dutch,Unclear
Den Haag,01 oktober 2025 (19:12),Den Haag,1 oktober 2025,Against,English,Yes
Enschede.,01 oktober 2025 (19:03),Enschede.,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (19:01),Amsterdam,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (18:56),Amsterdam,1 oktober 2025,Against,Dutch,Unclear
Veldhoven,01 oktober 2025 (18:53),Veldhoven,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (18:45),Amsterdam,1 oktober 2025,Against,Dutch,Unclear
Schiedam,01 oktober 2025 (18:45),Schiedam,1 oktober 2025,Against,English,Yes
Overrijsel ,01 oktober 2025 (18:44),Overrijsel,1 oktober 2025,Against,Dutch,Yes
Lelystad,01 oktober 2025 (18:39),Lelystad,1 oktober 2025,Against,Dutch,Yes
Nederland ,01 oktober 2025 (18:34),Nederland,1 oktober 2025,Against,Dutch,Unclear
Rotterdam,01 oktober 2025 (18:32),Rotterdam,1 oktober 2025,Against,Dutch,Unclear
Nieuwegein.,01 oktober 2025 (18:27),Nieuwegein.,1 oktober 2025,Against,Dutch,Unclear
Almere,01 oktober 2025 (18:26),Almere,1 oktober 2025,Against,English,Unclear
Amersfoort ,01 oktober 2025 (18:23),Amersfoort,1 oktober 2025,Against,Dutch,Unclear
Hasselt,01 oktober 2025 (18:21),Hasselt,1 oktober 2025,Against,Dutch,Unclear
Gouda,01 oktober 2025 (18:19),Gouda,1 oktober 2025,Against,English,Unclear
Eindhoven,01 oktober 2025 (18:18),Eindhoven,1 oktober 2025,Against,English,Unclear
Zaandam,01 oktober 2025 (18:08),Zaandam,1 oktober 2025,Against,Dutch,Yes
Gilze,01 oktober 2025 (18:03),Gilze,1 oktober 2025,Against,Dutch,Unclear
Diemen,01 oktober 2025 (18:02),Diemen,1 oktober 2025,Against,Dutch,Unclear
Den Haag ,01 oktober 2025 (18:01),Den Haag,1 oktober 2025,Against,Dutch,Unclear
UTRECHT,01 oktober 2025 (18:01),UTRECHT,1 oktober 2025,Against,Dutch,Unclear
Haarlem,01 oktober 2025 (17:54),Haarlem,1 oktober 2025,Against,Dutch,Unclear
Eindhoven,01 oktober 2025 (17:53),Eindhoven,1 oktober 2025,Against,English,Unclear
Hoorn,01 oktober 2025 (17:50),Hoorn,1 oktober 2025,Against,Dutch,Unclear
Eindhoven,01 oktober 2025 (17:45),Eindhoven,1 oktober 2025,Against,English,Unclear
Diemen,01 oktober 2025 (17:44),Diemen,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (17:39),Amsterdam,1 oktober 2025,Against,English,Yes
Rhoon,01 oktober 2025 (17:30),Rhoon,1 oktober 2025,Against,Dutch,No
Rotterdam ,01 oktober 2025 (17:28),Rotterdam,1 oktober 2025,Against,Dutch,Yes
Eindhoven,01 oktober 2025 (17:26),Eindhoven,1 oktober 2025,Against,English,Yes
Rotterdam,01 oktober 2025 (17:24),Rotterdam,1 oktober 2025,Against,Dutch,Yes
Rhoon,01 oktober 2025 (17:23),Rhoon,1 oktober 2025,Against,Dutch,Yes
Nootdorp,01 oktober 2025 (17:17),Nootdorp,1 oktober 2025,Against,Dutch,Yes
Rotterdam ,01 oktober 2025 (17:16),Rotterdam,1 oktober 2025,Against,Dutch,Yes
Voorburg,01 oktober 2025 (17:13),Voorburg,1 oktober 2025,Against,Dutch,Yes
Uithoorn,01 oktober 2025 (17:12),Uithoorn,1 oktober 2025,Against,Dutch,Yes
Den Haag,01 oktober 2025 (17:11),Den Haag,1 oktober 2025,Against,English,Yes
Oudenbosch,01 oktober 2025 (17:07),Oudenbosch,1 oktober 2025,Against,Dutch,Unclear
Nieuw Vennep,01 oktober 2025 (17:02),Nieuw Vennep,1 oktober 2025,Against,English,Yes
Wageningen,01 oktober 2025 (17:00),Wageningen,1 oktober 2025,Against,English,Unclear
Groningen,01 oktober 2025 (16:55),Groningen,1 oktober 2025,Against,Dutch,Unclear
Nieuw-Vennep,01 oktober 2025 (16:53),Nieuw-Vennep,1 oktober 2025,Against,English,Yes
The Hague,01 oktober 2025 (16:51),The Hague,1 oktober 2025,Against,English,Unclear
Europa,01 oktober 2025 (16:46),Europa,1 oktober 2025,Against,Dutch,Unclear
Utrecht,01 oktober 2025 (16:40),Utrecht,1 oktober 2025,Against,Other,Yes
Uithoorn,01 oktober 2025 (16:39),Uithoorn,1 oktober 2025,Against,Dutch,Yes
Amsterdam,01 oktober 2025 (16:36),Amsterdam,1 oktober 2025,Against,English,Yes
Voorburg,01 oktober 2025 (16:28),Voorburg,1 oktober 2025,Against,Dutch,Unclear
Den Haag,01 oktober 2025 (16:22),Den Haag,1 oktober 2025,Against,Dutch,Yes
Almere,01 oktober 2025 (16:15),Almere,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (16:13),Amsterdam,1 oktober 2025,Against,Dutch,Yes
Hoogeveen,01 oktober 2025 (16:08),Hoogeveen,1 oktober 2025,Against,Dutch,Unclear
Utrecht ,01 oktober 2025 (16:06),Utrecht,1 oktober 2025,Against,Dutch,Unclear
Spijkenisse ,01 oktober 2025 (16:03),Spijkenisse,1 oktober 2025,Against,Dutch,Unclear
Clovus,01 oktober 2025 (15:54),Clovus,1 oktober 2025,For,Dutch,No
The Hague,01 oktober 2025 (15:53),The Hague,1 oktober 2025,Against,English,Yes
Amsterdam,01 oktober 2025 (15:50),Amsterdam,1 oktober 2025,Against,Dutch,Yes
Rotterdam,01 oktober 2025 (15:48),Rotterdam,1 oktober 2025,Against,English,Yes
Rijswijk,01 oktober 2025 (15:47),Rijswijk,1 oktober 2025,Against,Dutch,Unclear
Diemen,01 oktober 2025 (15:45),Diemen,1 oktober 2025,Against,Dutch,Yes
Breda,01 oktober 2025 (15:45),Breda,1 oktober 2025,Against,Dutch,Unclear
Rotterdam,01 oktober 2025 (15:43),Rotterdam,1 oktober 2025,Against,Dutch,Unclear
Rotterdam ,01 oktober 2025 (15:40),Rotterdam,1 oktober 2025,Against,Dutch,Yes
Utrecht,01 oktober 2025 (15:39),Utrecht,1 oktober 2025,Against,Dutch,Unclear
Culemborg ,01 oktober 2025 (15:34),Culemborg,1 oktober 2025,Against,Dutch,Unclear
Venlo,01 oktober 2025 (15:30),Venlo,1 oktober 2025,Against,Other,Unclear
Amstelveen,01 oktober 2025 (15:28),Amstelveen,1 oktober 2025,Against,Dutch,Yes
Netherlands ,01 oktober 2025 (15:26),Netherlands,1 oktober 2025,Against,Dutch,Yes
Dongen ,01 oktober 2025 (15:18),Dongen,1 oktober 2025,Against,Dutch,Unclear
Dordrecht ,01 oktober 2025 (15:15),Dordrecht,1 oktober 2025,Against,Dutch,Unclear
Arnhem,01 oktober 2025 (15:10),Arnhem,1 oktober 2025,Against,English,Unclear
Venlo,01 oktober 2025 (15:07),Venlo,1 oktober 2025,Against,Other,Unclear
Amstelveen ,01 oktober 2025 (15:05),Amstelveen,1 oktober 2025,Against,English,Unclear
Eindhoven,01 oktober 2025 (15:01),Eindhoven,1 oktober 2025,Against,English,Unclear
Dordrecht,01 oktober 2025 (14:58),Dordrecht,1 oktober 2025,Against,Dutch,Yes
Nijmegen ,01 oktober 2025 (14:58),Nijmegen,1 oktober 2025,Against,Dutch,Yes
Eindhoven,01 oktober 2025 (14:52),Eindhoven,1 oktober 2025,Against,English,Unclear
Arnhem,01 oktober 2025 (14:50),Arnhem,1 oktober 2025,For,Dutch,Yes
Best,01 oktober 2025 (14:49),Best,1 oktober 2025,Against,Dutch,Unclear
Lelystad,01 oktober 2025 (14:47),Lelystad,1 oktober 2025,Against,English,Unclear
Alkmaar,01 oktober 2025 (14:47),Alkmaar,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (14:44),Amsterdam,1 oktober 2025,Against,English,Unclear
Houten,01 oktober 2025 (14:44),Houten,1 oktober 2025,Against,Dutch,Unclear
Zeist,01 oktober 2025 (14:44),Zeist,1 oktober 2025,Against,Other,Unclear
Amsterdam,01 oktober 2025 (14:40),Amsterdam,1 oktober 2025,Against,English,Yes
Naarden,01 oktober 2025 (14:39),Naarden,1 oktober 2025,Against,Dutch,Unclear
"Blauwe Reiger 41, 1616GH, Hoogkarspel ",01 oktober 2025 (14:35),"Blauwe Reiger 41, 1616GH, Hoogkarspel",1 oktober 2025,Against,English,Yes
Amsterdam,01 oktober 2025 (14:33),Amsterdam,1 oktober 2025,Against,Dutch,Yes
Utrecht,01 oktober 2025 (14:32),Utrecht,1 oktober 2025,Against,Dutch,Unclear
Rotterdam,01 oktober 2025 (14:31),Rotterdam,1 oktober 2025,Against,Dutch,Yes
Utrecht,01 oktober 2025 (14:24),Utrecht,1 oktober 2025,Against,Dutch,Unclear
Assen,01 oktober 2025 (14:24),Assen,1 oktober 2025,Against,English,Yes
Delft,01 oktober 2025 (14:23),Delft,1 oktober 2025,Against,English,Yes
Amsterdam,01 oktober 2025 (14:21),Amsterdam,1 oktober 2025,Against,English,Unclear
Eindhoven,01 oktober 2025 (14:20),Eindhoven,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (14:18),Amsterdam,1 oktober 2025,Against,Dutch,No
Rotterdam,01 oktober 2025 (14:14),Rotterdam,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (14:14),Amsterdam,1 oktober 2025,Against,Dutch,Unclear
Valkenswaard ,01 oktober 2025 (14:12),Valkenswaard,1 oktober 2025,Against,English,Unclear
Den Haag,01 oktober 2025 (14:09),Den Haag,1 oktober 2025,Against,Dutch,Unclear
Delft ,01 oktober 2025 (14:06),Delft,1 oktober 2025,Against,English,Yes
Amsterdam ,01 oktober 2025 (14:05),Amsterdam,1 oktober 2025,Against,English,Unclear
Aalsmeer,01 oktober 2025 (14:04),Aalsmeer,1 oktober 2025,Against,Dutch,Unclear
De Meern,01 oktober 2025 (14:03),De Meern,1 oktober 2025,Against,Dutch,Unclear
Iran,01 oktober 2025 (14:02),Iran,1 oktober 2025,Against,English,Unclear
Haarlem,01 oktober 2025 (13:58),Haarlem,1 oktober 2025,Against,Dutch,Yes
Rotterdam,01 oktober 2025 (13:58),Rotterdam,1 oktober 2025,Against,Dutch,Yes
Delft,01 oktober 2025 (13:54),Delft,1 oktober 2025,Against,Other,Unclear
Helmond,01 oktober 2025 (13:48),Helmond,1 oktober 2025,Against,English,Unclear
Eindhoven,01 oktober 2025 (13:46),Eindhoven,1 oktober 2025,Against,Dutch,Yes
Utrecht,01 oktober 2025 (13:45),Utrecht,1 oktober 2025,Against,Dutch,Unclear
Haarlem,01 oktober 2025 (13:41),Haarlem,1 oktober 2025,Against,Dutch,Unclear
Arnhem,01 oktober 2025 (13:41),Arnhem,1 oktober 2025,Against,Dutch,Unclear
Hoofddorp ,01 oktober 2025 (13:39),Hoofddorp,1 oktober 2025,Against,Dutch,Yes
The Hague,01 oktober 2025 (13:33),The Hague,1 oktober 2025,Against,English,Yes
Almere,01 oktober 2025 (13:31),Almere,1 oktober 2025,Against,Dutch,Yes
Amstelveen,01 oktober 2025 (13:30),Amstelveen,1 oktober 2025,Against,Dutch,Unclear
Den Haag,01 oktober 2025 (13:26),Den Haag,1 oktober 2025,Against,Dutch,Unclear
Utrecht,01 oktober 2025 (13:26),Utrecht,1 oktober 2025,Against,Dutch,Unclear
Utrecht,01 oktober 2025 (13:20),Utrecht,1 oktober 2025,Against,Dutch,Unclear
Mactricht,01 oktober 2025 (13:19),Mactricht,1 oktober 2025,Against,Dutch,Unclear
Aalsmeer,01 oktober 2025 (13:19),Aalsmeer,1 oktober 2025,Against,Dutch,Yes
Veldhoven,01 oktober 2025 (13:18),Veldhoven,1 oktober 2025,Against,Dutch,Yes
Rotterdam,01 oktober 2025 (13:15),Rotterdam,1 oktober 2025,Against,Dutch,Unclear
Den Haag,01 oktober 2025 (13:10),Den Haag,1 oktober 2025,Against,Dutch,Unclear
Tilburg,01 oktober 2025 (13:06),Tilburg,1 oktober 2025,Against,Dutch,Yes
Amsterdam,01 oktober 2025 (13:05),Amsterdam,1 oktober 2025,Against,Dutch,Unclear
Delft,01 oktober 2025 (13:04),Delft,1 oktober 2025,Against,Dutch,Unclear
Hilversum,01 oktober 2025 (13:04),Hilversum,1 oktober 2025,Against,English,Yes
Amsterdam,01 oktober 2025 (13:02),Amsterdam,1 oktober 2025,Against,Dutch,Unclear
Landgraaf,01 oktober 2025 (13:00),Landgraaf,1 oktober 2025,Against,Dutch,Yes
Den Haag,01 oktober 2025 (13:00),Den Haag,1 oktober 2025,Against,Dutch,Unclear
Den Haag,01 oktober 2025 (12:59),Den Haag,1 oktober 2025,Against,Dutch,Yes
Utrecht,01 oktober 2025 (12:52),Utrecht,1 oktober 2025,Against,Dutch,Unclear
Alkmaar,01 oktober 2025 (12:52),Alkmaar,1 oktober 2025,Against,Dutch,Unclear
Arnhem,01 oktober 2025 (12:50),Arnhem,1 oktober 2025,Against,English,Unclear
Leiden,01 oktober 2025 (12:46),Leiden,1 oktober 2025,Against,Other,Unclear
Amsterdam,01 oktober 2025 (12:43),Amsterdam,1 oktober 2025,Against,Dutch,Unclear
Hilversum,01 oktober 2025 (12:43),Hilversum,1 oktober 2025,Against,English,Unclear
Utrecht,01 oktober 2025 (12:38),Utrecht,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (12:31),Amsterdam,1 oktober 2025,Against,English,Yes
Bladel ,01 oktober 2025 (12:29),Bladel,1 oktober 2025,Against,Dutch,Yes
Rotterdam,01 oktober 2025 (12:27),Rotterdam,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (12:26),Amsterdam,1 oktober 2025,Against,English,Yes
Berkel en Rodenrijs ,01 oktober 2025 (12:25),Berkel en Rodenrijs,1 oktober 2025,Against,English,Unclear
Almere,01 oktober 2025 (12:24),Almere,1 oktober 2025,Against,English,Yes
Den Haag,01 oktober 2025 (12:20),Den Haag,1 oktober 2025,Against,Dutch,Unclear
Enschede ,01 oktober 2025 (12:16),Enschede,1 oktober 2025,Against,Dutch,Yes
Zoetermeer,01 oktober 2025 (12:14),Zoetermeer,1 oktober 2025,Against,Dutch,Unclear
Utrecht,01 oktober 2025 (12:11),Utrecht,1 oktober 2025,Against,English,Yes
Amsterdam,01 oktober 2025 (12:11),Amsterdam,1 oktober 2025,Against,English,Unclear
Hoofddorp,01 oktober 2025 (12:11),Hoofddorp,1 oktober 2025,Against,Other,Unclear
DenHelder,01 oktober 2025 (12:10),DenHelder,1 oktober 2025,Against,Dutch,Unclear
Schiedam,01 oktober 2025 (12:10),Schiedam,1 oktober 2025,Against,Dutch,Yes
Eindhoven,01 oktober 2025 (12:09),Eindhoven,1 oktober 2025,Against,Dutch,Yes
Uithoorn,01 oktober 2025 (12:09),Uithoorn,1 oktober 2025,Against,Dutch,Yes
Eindhoven,01 oktober 2025 (12:09),Eindhoven,1 oktober 2025,Against,Dutch,Yes
Den Bosch ,01 oktober 2025 (12:08),Den Bosch,1 oktober 2025,Against,Dutch,Unclear
ROTTERDAM,01 oktober 2025 (12:07),ROTTERDAM,1 oktober 2025,Against,Dutch,Unclear
Den Haag,01 oktober 2025 (12:06),Den Haag,1 oktober 2025,Against,Dutch,Unclear
"Haarlem, """,01 oktober 2025 (12:06),"Haarlem, """,1 oktober 2025,Against,English,Unclear
Utrecht,01 oktober 2025 (12:04),Utrecht,1 oktober 2025,Against,English,Unclear
Nootdorp,01 oktober 2025 (12:02),Nootdorp,1 oktober 2025,Against,English,Unclear
Rotterdam,01 oktober 2025 (12:01),Rotterdam,1 oktober 2025,Against,Dutch,Yes
Haarlem,01 oktober 2025 (12:01),Haarlem,1 oktober 2025,Against,English,Yes
Hilversum,01 oktober 2025 (12:00),Hilversum,1 oktober 2025,Against,English,Unclear
Schiedam,01 oktober 2025 (11:52),Schiedam,1 oktober 2025,Against,English,Yes
De Meern,01 oktober 2025 (11:52),De Meern,1 oktober 2025,Against,English,Unclear
Zaandam,01 oktober 2025 (11:51),Zaandam,1 oktober 2025,Against,English,Yes
Utrecht ,01 oktober 2025 (11:49),Utrecht,1 oktober 2025,Against,English,Unclear
Dedemsvaart,01 oktober 2025 (11:48),Dedemsvaart,1 oktober 2025,For,Dutch,No
Ede,01 oktober 2025 (11:47),Ede,1 oktober 2025,Against,Dutch,Unclear
"Almere, Netherlands",01 oktober 2025 (11:45),"Almere, Netherlands",1 oktober 2025,Against,English,Yes
Nassaulaan 12,01 oktober 2025 (11:45),Nassaulaan 12,1 oktober 2025,Against,Dutch,Yes
Nederland ,01 oktober 2025 (11:43),Nederland,1 oktober 2025,Against,Dutch,Yes
Eindhoven,01 oktober 2025 (11:39),Eindhoven,1 oktober 2025,Against,English,Yes
Amsterdam ,01 oktober 2025 (11:39),Amsterdam,1 oktober 2025,Against,Dutch,Unclear
Rotterdam,01 oktober 2025 (11:38),Rotterdam,1 oktober 2025,Against,Dutch,Yes
Amsterdam,01 oktober 2025 (11:37),Amsterdam,1 oktober 2025,Against,English,Yes
Rotterdam,01 oktober 2025 (11:36),Rotterdam,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (11:33),Amsterdam,1 oktober 2025,Against,Dutch,Unclear
Heerlen,01 oktober 2025 (11:33),Heerlen,1 oktober 2025,Against,Dutch,Unclear
Beuningen ,01 oktober 2025 (11:31),Beuningen,1 oktober 2025,Against,Dutch,Unclear
Den Haag,01 oktober 2025 (11:28),Den Haag,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (11:22),Amsterdam,1 oktober 2025,Against,English,Yes
Hilversum,01 oktober 2025 (11:17),Hilversum,1 oktober 2025,Against,English,Yes
Diemen,01 oktober 2025 (11:15),Diemen,1 oktober 2025,Against,English,Unclear
Tilburg ,01 oktober 2025 (11:12),Tilburg,1 oktober 2025,Against,Dutch,Unclear
Leeuwarden,01 oktober 2025 (11:09),Leeuwarden,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (11:07),Amsterdam,1 oktober 2025,Against,English,Unclear
Ede,01 oktober 2025 (11:04),Ede,1 oktober 2025,Against,Dutch,Unclear
Deventer,01 oktober 2025 (11:03),Deventer,1 oktober 2025,Against,Dutch,Unclear
The Hague,01 oktober 2025 (10:58),The Hague,1 oktober 2025,Against,English,Unclear
Eindhoven,01 oktober 2025 (10:56),Eindhoven,1 oktober 2025,Against,English,Yes
Helmond,01 oktober 2025 (10:56),Helmond,1 oktober 2025,Against,Dutch,Unclear
"Den haag,  Nederland",01 oktober 2025 (10:52),"Den haag,  Nederland",1 oktober 2025,,,
Leiden,01 oktober 2025 (10:51),Leiden,1 oktober 2025,Against,Dutch,Unclear
Duivendrecht,01 oktober 2025 (10:41),Duivendrecht,1 oktober 2025,Against,English,Unclear
Rotterdam,01 oktober 2025 (10:40),Rotterdam,1 oktober 2025,Against,Dutch,Unclear
Hoensbroek,01 oktober 2025 (10:39),Hoensbroek,1 oktober 2025,Against,Dutch,Yes
Eindhoven,01 oktober 2025 (10:38),Eindhoven,1 oktober 2025,Against,English,Unclear
DEN HAAG,01 oktober 2025 (10:38),DEN HAAG,1 oktober 2025,Against,Dutch,Yes
Amstelveen ,01 oktober 2025 (10:33),Amstelveen,1 oktober 2025,Against,Dutch,Yes
eindhoven,01 oktober 2025 (10:31),eindhoven,1 oktober 2025,Against,English,Unclear
's-Hertogenbosch,01 oktober 2025 (10:28),'s-Hertogenbosch,1 oktober 2025,Against,English,Yes
Aalsmeer,01 oktober 2025 (10:24),Aalsmeer,1 oktober 2025,Against,English,Unclear
Breda,01 oktober 2025 (10:22),Breda,1 oktober 2025,Against,Dutch,Unclear
Helmond,01 oktober 2025 (10:20),Helmond,1 oktober 2025,Against,Dutch,Unclear
Den haag,01 oktober 2025 (10:20),Den haag,1 oktober 2025,Against,English,Yes
Amstelveen,01 oktober 2025 (10:17),Amstelveen,1 oktober 2025,Against,Dutch,Unclear
Amstelveen.,01 oktober 2025 (10:15),Amstelveen.,1 oktober 2025,Against,Dutch,Yes
Arnhem ,01 oktober 2025 (10:13),Arnhem,1 oktober 2025,Against,English,Unclear
Zeist netherlands ,01 oktober 2025 (10:06),Zeist netherlands,1 oktober 2025,Against,Dutch,Unclear
Venlo,01 oktober 2025 (10:06),Venlo,1 oktober 2025,Against,Dutch,Unclear
Teteringen ,01 oktober 2025 (10:05),Teteringen,1 oktober 2025,Against,Dutch,Unclear
Helmond,01 oktober 2025 (10:05),Helmond,1 oktober 2025,Against,Dutch,Unclear
Utrecht,01 oktober 2025 (10:05),Utrecht,1 oktober 2025,Against,Dutch,Unclear
eindhoven,01 oktober 2025 (10:04),eindhoven,1 oktober 2025,Against,English,Yes
Hoofddorp,01 oktober 2025 (10:04),Hoofddorp,1 oktober 2025,Against,English,Yes
Enschede,01 oktober 2025 (10:03),Enschede,1 oktober 2025,Against,Dutch,Yes
"Rome, Italy ",01 oktober 2025 (10:02),"Rome, Italy",1 oktober 2025,Against,English,Unclear
Enschede,01 oktober 2025 (10:01),Enschede,1 oktober 2025,Against,Dutch,Unclear
Tilburg,01 oktober 2025 (10:00),Tilburg,1 oktober 2025,Against,Dutch,Unclear
Amsterdam,01 oktober 2025 (10:00),Amsterdam,1 oktober 2025,Against,Dutch,Yes
Beverwijk,01 oktober 2025 (09:59),Beverwijk,1 oktober 2025,Against,English,Unclear
Helmond ,01 oktober 2025 (09:56),Helmond,1 oktober 2025,Against,Dutch,Unclear
Pijnacker,01 oktober 2025 (09:55),Pijnacker,1 oktober 2025,Against,English,Yes
Amsterdam,01 oktober 2025 (09:54),Amsterdam,1 oktober 2025,Against,Dutch,Yes
Oosterhout Nb,01 oktober 2025 (09:52),Oosterhout Nb,1 oktober 2025,Against,Dutch,Unclear
's Hertogenbosch,01 oktober 2025 (09:51),'s Hertogenbosch,1 oktober 2025,Against,English,Yes
"Den Haag, NL",01 oktober 2025 (09:49),"Den Haag, NL",1 oktober 2025,Against,Dutch,Yes
Den Bosch,01 oktober 2025 (09:48),Den Bosch,1 oktober 2025,Against,Dutch,Yes
Ede,01 oktober 2025 (09:46),Ede,1 oktober 2025,Against,Dutch,Yes
Delft ,01 oktober 2025 (09:44),Delft,1 oktober 2025,Against,English,Unclear
Geertruidenberg,01 oktober 2025 (09:40),Geertruidenberg,1 oktober 2025,Against,Dutch,Yes
Oosterhout ,01 oktober 2025 (09:36),Oosterhout,1 oktober 2025,Against,Dutch,Unclear
Eindhoven,01 oktober 2025 (09:34),Eindhoven,1 oktober 2025,Against,English,Unclear
